Start of the Ejecta,End of the Ejecta,MC
,2001-06-27T04:36:25,2001-06-28T16:41:15
,2001-07-09T04:21:00,2001-07-12T03:27:00
2001-08-03T07:16:30,2001-08-03T11:51:00,2001-08-03T14:19:30
,2001-08-15T19:25:30,2001-08-16T14:37:30
2001-08-17T10:56:37,2001-08-18T01:22:52,2001-08-18T15:20:15
2001-08-27T19:39:00,2001-08-28T03:27:00,2001-08-28T19:21:00
2001-08-30T13:57:00,2001-08-30T19:34:30,2001-08-31T08:28:30
2001-08-31T01:21:00,2001-09-01T04:00:45,2001-09-01T15:58:30
,2001-09-13T18:28:07,2001-09-14T03:55:07
2001-09-14T01:59:15,2001-09-14T04:55:52,2001-09-14T23:35:15
,2001-09-24T06:16:52,2001-09-24T17:08:15
,2001-09-25T07:49:07,2001-09-25T21:55:41
2001-09-25T20:15:00,2001-09-26T10:05:15,2001-09-27T01:50:15
2001-09-29T09:27:00,2001-09-29T14:17:15,2001-09-30T21:31:30
2001-09-30T19:13:07,2001-09-30T22:48:00,2001-10-01T11:51:00
,2001-10-01T11:53:15,2001-10-01T22:03:33
,2001-10-04T21:58:30,2001-10-05T09:13:30
2001-10-11T16:48:45,2001-10-12T03:38:26,2001-10-12T08:19:41
,2001-10-27T02:19:30,2001-10-28T05:21:22
2001-10-28T03:09:00,2001-10-29T22:12:00,2001-10-31T17:05:59
2001-10-31T13:43:30,2001-10-31T21:42:45,2001-11-01T15:15:45
,2001-11-01T17:51:00,2001-11-02T10:16:30
,2001-11-05T20:19:30,2001-11-06T05:26:15
2001-11-06T01:43:30,2001-11-06T13:25:30,2001-11-06T19:34:30
2001-11-24T05:55:30,2001-11-24T17:00:00,2001-11-25T16:34:30
,2001-12-13T05:24:00,2001-12-14T10:03:00
2001-12-29T05:15:00,2001-12-30T00:21:00,2001-12-30T18:00:30
2002-02-28T05:06:00,2002-02-28T18:58:30,2002-03-01T22:43:30
2002-03-18T13:16:30,2002-03-19T06:15:45,2002-03-20T14:42:00
2002-03-20T13:16:30,2002-03-21T17:28:30,2002-03-22T06:15:45
2002-03-22T03:45:00,2002-03-22T13:50:15,2002-03-23T12:27:00
2002-03-23T11:21:45,2002-03-23T17:53:15,2002-03-24T03:00:00
,2002-03-24T12:38:15,2002-03-25T04:00:45
2002-03-25T01:13:41,2002-03-25T06:38:20,2002-03-25T14:38:48
,2002-04-12T01:39:00,2002-04-13T15:20:15
2002-04-14T12:56:15,2002-04-14T14:30:45,2002-04-15T03:47:15
,2002-04-15T07:16:30,2002-04-16T06:27:00
2002-04-17T11:02:37,2002-04-18T00:24:45,2002-04-19T10:54:45
2002-04-19T08:21:22,2002-04-20T13:02:37,2002-04-21T13:47:59
2002-05-18T19:48:00,2002-05-19T03:20:15,2002-05-20T04:25:30
2002-05-20T03:36:00,2002-05-20T17:19:13,2002-05-21T21:13:30
2002-05-23T10:41:15,2002-05-23T21:36:00,2002-05-25T17:48:45
