"ICME1
start time","MO2
start time","MO/ICME
end time"
2017 07/16 05:30,2017 07/17 00:53,2017 07/17 13:00
2017 08/21 20:46,2017 08/22 06:42,2017 08/23 14:02
2017 09/06 22:21,2017 09/07 09:13,2017 09/08 06:35
2017 09/07 16:17,2017 09/08 00:19,2017 09/09 16:57
2017 12/25 14:57,2017 12/25 14:57,2017 12/26 06:32
2018 03/09 16:32,2018 03/09 23:47,2018 03/11 02:05
2018 05/13 02:35,2018 05/13 07:18,2018 05/13 14:51
2018 06/06 11:23,2018 06/06 17:32,2018 06/07 08:29
2018 06/25 08:02,2018 06/25 08:02,2018 06/26 03:33
2018 07/10 12:45,2018 07/10 12:45,2018 07/11 08:45
2018 08/25 01:02,2018 08/25 12:04,2018 08/26 12:19
2018 09/23 08:20,2018 09/23 11:58,2018 09/23 22:59
2019 03/16 12:20,2019 03/17 01:15,2019 03/17 19:12
2019 04/17 21:15,2019 04/17 21:15,2019 04/18 19:37
2019 05/07 21:00,2019 05/07 21:00,2019 05/08 15:16
2019 05/10 11:42,2019 05/10 17:04,2019 05/12 21:58
2019 05/13 22:54,2019 05/14 09:08,2019 05/15 15:41
2019 05/16 22:54,2019 05/17 01:25,2019 05/18 08:35
2019 05/26 22:50,2019 05/27 07:49,2019 05/28 00:11
2019 06/07 06:36,2019 06/07 10:22,2019 06/08 07:19
2019 10/13 04:55,2019 10/13 09:48,2019 10/14 06:07
2019 10/29 05:30,2019 10/29 05:30,2019 10/30 23:52
2019 11/02 21:10,2019 11/02 21:10,2019 11/03 06:46
2019 11/11 06:24,2019 11/11 09:42,2019 11/12 09:48
2020 01/04 09:48,2020 01/04 14:22,2020 01/05 06:07
2020 01/14 02:50,2020 01/14 08:21,2020 01/15 05:08
2020 03/04 12:02,2020 03/04 13:55,2020 03/06 03:52
2020 04/20 03:52,2020 04/20 08:26,2020 04/21 05:03
2020 12/06 19:00,2020 12/06 19:00,2020 12/07 08:31
2020 12/10 05:34,2020 12/11 04:34,2020 12/13 09:57
2021 02/24 02:39,2021 02/24 04:33,2021 02/24 17:46
2021 03/11 21:37,2021 03/11 21:37,2021 03/12 23:17
2021 04/05 00:28,2021 04/05 10:23,2021 04/06 09:32
